age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,poutcome,y
60,retired,married,tertiary,0,100,0,0,unknown,528,1,unknown,0
59,management,divorced,tertiary,0,59,1,0,unknown,273,1,unknown,0
55,technician,married,secondary,0,1205,1,0,unknown,158,2,unknown,0
35,blue-collar,single,secondary,0,12223,1,1,unknown,177,1,unknown,0
57,blue-collar,married,secondary,0,5935,1,1,unknown,258,1,unknown,0
31,services,married,secondary,0,25,1,1,unknown,172,1,unknown,0
54,management,married,secondary,0,282,1,1,unknown,154,1,unknown,0
55,blue-collar,married,primary,0,23,1,0,unknown,291,1,unknown,0
43,technician,married,secondary,0,1937,1,0,unknown,181,1,unknown,0
53,technician,married,secondary,0,384,1,0,unknown,176,1,unknown,0
44,blue-collar,married,secondary,0,582,0,1,unknown,211,1,unknown,0
55,services,divorced,secondary,0,91,0,0,unknown,349,1,unknown,0
49,services,divorced,secondary,0,0,1,1,unknown,272,1,unknown,0
55,services,divorced,secondary,1,1,1,0,unknown,208,1,unknown,0
45,admin.,single,secondary,0,206,1,0,unknown,193,1,unknown,0
47,services,divorced,secondary,0,164,0,0,unknown,212,1,unknown,0
42,technician,single,secondary,0,690,1,0,unknown,20,1,unknown,0
59,admin.,married,secondary,0,2343,1,0,unknown,1042,1,unknown,1
46,self-employed,married,tertiary,0,137,1,1,unknown,246,1,unknown,0
51,blue-collar,married,primary,0,173,1,0,unknown,529,2,unknown,0
56,admin.,married,secondary,0,45,0,0,unknown,1467,1,unknown,1
41,technician,married,secondary,0,1270,1,0,unknown,1389,1,unknown,1
46,management,divorced,secondary,0,16,1,1,unknown,188,2,unknown,0
57,retired,married,secondary,0,486,1,0,unknown,180,2,unknown,0
42,management,single,secondary,0,50,0,0,unknown,48,1,unknown,0
30,technician,married,secondary,0,152,1,1,unknown,213,2,unknown,0
60,admin.,married,secondary,0,290,1,0,unknown,583,1,unknown,0
60,blue-collar,married,unknown,0,54,1,0,unknown,221,1,unknown,0
57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,173,1,unknown,0
36,management,married,tertiary,0,101,1,1,unknown,426,1,unknown,0
55,blue-collar,married,secondary,0,383,0,0,unknown,287,1,unknown,0
60,retired,married,tertiary,0,81,1,0,unknown,101,1,unknown,0
39,technician,married,secondary,0,0,1,0,unknown,203,1,unknown,0
46,management,married,tertiary,0,229,1,0,unknown,197,1,unknown,0
44,blue-collar,married,secondary,0,-674,1,0,unknown,257,1,unknown,0
53,blue-collar,married,primary,0,90,0,0,unknown,124,1,unknown,0
52,blue-collar,married,primary,0,128,1,0,unknown,229,1,unknown,0
59,blue-collar,married,primary,0,179,1,0,unknown,55,3,unknown,0
27,technician,single,tertiary,0,0,1,0,unknown,400,1,unknown,0
44,blue-collar,married,secondary,0,54,1,0,unknown,197,1,unknown,0
47,technician,married,tertiary,0,151,1,0,unknown,190,1,unknown,0
34,admin.,married,secondary,0,61,0,1,unknown,21,1,unknown,0
59,retired,single,secondary,0,30,1,0,unknown,514,1,unknown,0
45,management,married,tertiary,0,523,1,0,unknown,849,2,unknown,0
29,services,divorced,secondary,0,31,1,0,unknown,194,1,unknown,0
46,technician,divorced,secondary,0,79,0,0,unknown,144,1,unknown,0
56,self-employed,married,primary,0,-34,1,1,unknown,212,2,unknown,0
36,blue-collar,married,primary,0,448,1,0,unknown,286,1,unknown,0
59,retired,divorced,primary,0,81,1,0,unknown,107,1,unknown,0
44,blue-collar,married,secondary,0,144,1,0,unknown,247,2,unknown,0
41,admin.,married,secondary,0,351,1,0,unknown,518,1,unknown,0
33,management,single,tertiary,0,-67,1,0,unknown,364,1,unknown,0
59,management,divorced,tertiary,0,262,0,0,unknown,178,1,unknown,0
57,technician,married,primary,0,0,0,0,unknown,98,1,unknown,0
56,technician,divorced,unknown,0,56,1,0,unknown,439,1,unknown,0
51,blue-collar,married,secondary,0,26,1,0,unknown,79,1,unknown,0
34,admin.,married,unknown,0,3,1,0,unknown,120,3,unknown,0
43,services,married,secondary,0,41,1,1,unknown,127,2,unknown,0
52,technician,married,tertiary,0,7,0,1,unknown,175,1,unknown,0
33,technician,single,secondary,0,105,1,0,unknown,262,2,unknown,0
29,admin.,single,secondary,0,818,1,1,unknown,61,1,unknown,0
34,services,married,secondary,0,-16,1,1,unknown,78,1,unknown,0
31,blue-collar,married,secondary,0,0,1,0,unknown,143,1,unknown,0
55,services,married,secondary,0,2476,1,0,unknown,579,1,unknown,1
55,management,married,unknown,0,1185,0,0,unknown,677,1,unknown,0
32,admin.,single,secondary,0,217,1,0,unknown,345,1,unknown,0
38,technician,single,secondary,0,1685,1,0,unknown,185,1,unknown,0
55,admin.,single,secondary,0,802,1,1,unknown,100,2,unknown,0
28,unemployed,single,tertiary,0,0,1,0,unknown,125,2,unknown,0
23,blue-collar,married,secondary,0,94,1,0,unknown,193,1,unknown,0
32,technician,single,secondary,0,0,1,0,unknown,136,1,unknown,0
43,services,single,unknown,0,0,0,0,unknown,73,1,unknown,0
32,blue-collar,married,secondary,0,517,1,0,unknown,528,1,unknown,0
46,blue-collar,married,secondary,0,265,1,0,unknown,541,1,unknown,0
53,housemaid,divorced,primary,0,947,1,0,unknown,163,1,unknown,0
34,self-employed,single,secondary,0,3,1,0,unknown,301,1,unknown,0
57,unemployed,married,tertiary,0,42,0,0,unknown,46,1,unknown,0
37,blue-collar,married,secondary,0,37,1,0,unknown,204,1,unknown,0
59,blue-collar,married,secondary,0,57,1,0,unknown,98,1,unknown,0
33,services,married,secondary,0,22,1,0,unknown,71,1,unknown,0
56,blue-collar,divorced,primary,0,8,1,0,unknown,157,2,unknown,0
48,unemployed,married,secondary,0,293,1,0,unknown,243,1,unknown,0
43,services,married,primary,0,3,1,0,unknown,186,2,unknown,0
54,blue-collar,married,primary,0,348,1,0,unknown,579,2,unknown,0
51,blue-collar,married,unknown,0,-19,1,0,unknown,163,2,unknown,0
26,student,single,secondary,0,0,1,0,unknown,610,2,unknown,0
40,management,married,tertiary,0,-4,1,0,unknown,2033,1,unknown,0
39,management,married,secondary,0,18,1,0,unknown,85,1,unknown,0
50,technician,married,primary,0,139,0,0,unknown,114,2,unknown,0
41,services,married,secondary,0,0,1,0,unknown,114,2,unknown,0
51,blue-collar,married,unknown,0,1883,1,0,unknown,57,1,unknown,0
60,retired,divorced,secondary,0,216,1,0,unknown,238,1,unknown,0
52,blue-collar,married,secondary,0,782,1,0,unknown,93,3,unknown,0
48,blue-collar,married,secondary,0,904,1,0,unknown,128,2,unknown,0
48,services,married,unknown,0,1705,1,0,unknown,107,1,unknown,0
39,technician,single,tertiary,0,47,1,0,unknown,181,1,unknown,0
47,services,single,secondary,0,176,1,0,unknown,303,2,unknown,0
40,blue-collar,married,secondary,0,1225,1,0,unknown,558,5,unknown,0
45,technician,married,secondary,0,86,1,0,unknown,270,1,unknown,0
26,admin.,single,secondary,0,82,1,0,unknown,228,1,unknown,0
52,management,married,tertiary,0,271,1,0,unknown,99,1,unknown,0
54,technician,married,secondary,0,1378,1,0,unknown,240,1,unknown,0
54,admin.,married,tertiary,0,184,0,0,unknown,673,2,unknown,1
50,blue-collar,married,primary,0,0,0,0,unknown,233,3,unknown,0
35,blue-collar,married,secondary,0,0,1,0,unknown,1056,1,unknown,0
44,services,married,secondary,0,1357,1,1,unknown,250,1,unknown,0
53,entrepreneur,married,unknown,0,19,1,0,unknown,252,1,unknown,0
35,retired,single,primary,0,434,0,0,unknown,138,1,unknown,0
60,admin.,divorced,secondary,0,92,1,0,unknown,130,1,unknown,0
53,admin.,divorced,secondary,0,1151,1,0,unknown,412,1,unknown,0
48,unemployed,married,secondary,0,41,1,0,unknown,179,2,unknown,0
34,technician,married,secondary,0,51,1,0,unknown,19,2,unknown,0
54,services,married,secondary,0,214,1,0,unknown,458,2,unknown,0
51,management,married,secondary,0,1161,1,0,unknown,717,1,unknown,0
31,services,married,tertiary,0,37,1,0,unknown,313,1,unknown,0
35,technician,divorced,secondary,0,787,1,0,unknown,683,2,unknown,0
35,services,married,secondary,0,59,1,0,unknown,1077,1,unknown,0
38,technician,married,secondary,0,253,1,0,unknown,416,1,unknown,0
36,admin.,married,tertiary,0,211,1,0,unknown,146,2,unknown,0
58,retired,married,primary,0,235,1,0,unknown,167,1,unknown,0
40,services,divorced,unknown,0,4384,1,0,unknown,315,1,unknown,0
54,management,married,secondary,0,4080,0,0,unknown,140,1,unknown,0
34,blue-collar,single,secondary,0,53,1,1,unknown,346,1,unknown,0
31,management,single,tertiary,0,0,1,0,unknown,562,1,unknown,0
51,retired,married,secondary,0,2127,1,0,unknown,172,1,unknown,0
33,management,married,tertiary,0,377,1,0,unknown,217,1,unknown,0
55,management,married,tertiary,0,73,1,0,unknown,142,2,unknown,0
42,admin.,married,secondary,0,445,1,0,unknown,67,1,unknown,0
34,blue-collar,married,secondary,0,243,1,0,unknown,291,1,unknown,0
33,blue-collar,single,secondary,0,307,1,0,unknown,309,2,unknown,0
38,services,married,secondary,0,155,1,0,unknown,248,1,unknown,0
50,technician,divorced,tertiary,0,173,0,1,unknown,98,1,unknown,0
43,management,married,tertiary,0,400,1,0,unknown,256,1,unknown,0
61,blue-collar,divorced,primary,0,1428,1,0,unknown,82,2,unknown,0
47,admin.,married,secondary,0,219,1,0,unknown,577,1,unknown,0
48,self-employed,married,tertiary,0,7,1,0,unknown,286,1,unknown,0
44,blue-collar,married,secondary,0,575,1,0,unknown,477,1,unknown,0
35,student,single,unknown,0,298,1,0,unknown,611,2,unknown,0
35,services,married,secondary,0,0,1,0,unknown,471,1,unknown,0
50,services,married,secondary,0,5699,1,0,unknown,381,2,unknown,0
41,management,married,tertiary,0,176,1,1,unknown,42,1,unknown,0
41,management,married,tertiary,0,517,1,0,unknown,251,1,unknown,0
39,services,single,unknown,0,257,1,0,unknown,408,1,unknown,0
42,retired,married,secondary,0,56,1,0,unknown,215,1,unknown,0
38,blue-collar,married,secondary,0,-390,1,0,unknown,287,1,unknown,0
53,retired,married,secondary,0,330,1,0,unknown,216,2,unknown,0
59,housemaid,divorced,primary,0,195,0,0,unknown,366,2,unknown,0
36,services,married,secondary,0,301,1,0,unknown,210,1,unknown,0
54,blue-collar,married,primary,0,-41,1,0,unknown,288,1,unknown,0
40,technician,married,tertiary,0,483,1,0,unknown,168,1,unknown,0
47,unknown,married,unknown,0,28,0,0,unknown,338,2,unknown,0
53,unemployed,married,unknown,0,13,0,0,unknown,410,3,unknown,0
46,housemaid,married,primary,0,965,0,0,unknown,177,1,unknown,0
39,management,married,tertiary,0,378,1,1,unknown,127,2,unknown,0
40,unemployed,married,secondary,0,219,1,0,unknown,357,1,unknown,0
28,blue-collar,married,primary,0,324,1,0,unknown,175,1,unknown,0
35,entrepreneur,divorced,secondary,0,-69,1,0,unknown,300,1,unknown,0
55,retired,married,secondary,0,0,0,1,unknown,136,1,unknown,0
43,technician,divorced,unknown,0,205,1,0,unknown,1419,1,unknown,0
48,blue-collar,married,primary,0,278,1,0,unknown,125,2,unknown,0
58,management,married,unknown,0,1065,1,0,unknown,213,3,unknown,0
33,management,single,tertiary,0,34,1,0,unknown,27,1,unknown,0
36,blue-collar,married,unknown,0,1033,0,0,unknown,238,2,unknown,0
53,services,divorced,secondary,0,1467,1,0,unknown,124,1,unknown,0
47,blue-collar,married,primary,0,-12,1,0,unknown,18,1,unknown,0
31,services,married,secondary,0,388,1,0,unknown,730,2,unknown,0
57,entrepreneur,married,secondary,0,294,1,0,unknown,746,2,unknown,0
53,blue-collar,married,unknown,0,1827,0,0,unknown,121,1,unknown,0
55,blue-collar,married,primary,0,627,1,0,unknown,247,1,unknown,0
45,blue-collar,married,primary,0,25,1,0,unknown,40,1,unknown,0
53,admin.,divorced,secondary,0,315,1,0,unknown,181,2,unknown,0
37,blue-collar,married,primary,0,0,1,0,unknown,79,1,unknown,0
44,admin.,divorced,secondary,0,66,1,0,unknown,206,1,unknown,0
49,blue-collar,divorced,primary,0,-9,1,1,unknown,389,1,unknown,0
46,technician,married,secondary,0,349,1,1,unknown,127,1,unknown,0
43,entrepreneur,married,unknown,0,100,1,0,unknown,702,1,unknown,0
38,admin.,married,secondary,0,0,0,0,unknown,151,1,unknown,0
43,technician,married,secondary,0,434,1,0,unknown,117,1,unknown,0
49,management,married,tertiary,0,3237,1,0,unknown,232,3,unknown,0
42,management,married,unknown,0,275,0,0,unknown,408,2,unknown,0
22,blue-collar,single,secondary,0,0,1,0,unknown,179,2,unknown,0
40,management,married,tertiary,0,207,1,0,unknown,39,1,unknown,0
39,blue-collar,married,secondary,0,483,1,0,unknown,282,1,unknown,0
51,services,married,secondary,0,2248,1,0,unknown,714,2,unknown,0
49,admin.,married,secondary,0,428,1,0,unknown,50,1,unknown,0
53,blue-collar,married,secondary,0,0,1,1,unknown,181,1,unknown,0
34,services,single,secondary,0,0,1,0,unknown,142,1,unknown,0
33,technician,divorced,secondary,0,140,1,0,unknown,227,1,unknown,0
50,management,single,tertiary,0,297,1,0,unknown,119,1,unknown,0
39,blue-collar,married,primary,0,279,1,0,unknown,361,1,unknown,0
59,entrepreneur,divorced,secondary,0,901,1,0,unknown,73,3,unknown,0
30,technician,single,secondary,0,2573,1,0,unknown,67,2,unknown,0
36,services,married,secondary,0,143,1,1,unknown,350,1,unknown,0
40,blue-collar,married,secondary,0,475,1,0,unknown,332,2,unknown,0
53,blue-collar,married,secondary,0,70,1,0,unknown,611,2,unknown,0
34,management,single,tertiary,0,318,1,0,unknown,113,2,unknown,0
37,technician,married,secondary,0,275,1,0,unknown,132,1,unknown,0
42,management,divorced,tertiary,0,742,1,0,unknown,58,3,unknown,0
41,entrepreneur,married,primary,0,236,1,0,unknown,151,1,unknown,0
30,student,single,tertiary,0,25,1,0,unknown,89,2,unknown,0
37,management,single,tertiary,0,600,1,0,unknown,152,1,unknown,0
39,admin.,divorced,secondary,0,-349,1,0,unknown,611,2,unknown,0
41,blue-collar,married,primary,0,183,1,1,unknown,110,2,unknown,0
40,blue-collar,married,primary,0,0,1,0,unknown,463,1,unknown,0
42,management,single,tertiary,0,0,1,1,unknown,562,2,unknown,1
40,blue-collar,divorced,primary,0,0,1,0,unknown,962,1,unknown,0
57,technician,married,secondary,0,1078,1,0,unknown,10,4,unknown,0
56,entrepreneur,divorced,secondary,0,155,0,0,unknown,118,3,unknown,0
37,admin.,married,secondary,0,190,1,0,unknown,92,2,unknown,0
59,retired,married,secondary,0,319,1,0,unknown,143,3,unknown,0
39,services,divorced,secondary,0,-185,1,0,unknown,189,3,unknown,0
49,services,married,secondary,0,47,0,0,unknown,234,2,unknown,0
38,services,single,secondary,0,570,1,0,unknown,75,2,unknown,0
36,self-employed,married,tertiary,0,19,0,0,unknown,189,2,unknown,0
50,blue-collar,married,primary,0,61,1,0,unknown,621,3,unknown,0
41,admin.,married,secondary,0,-62,1,1,unknown,55,2,unknown,0
54,technician,married,tertiary,0,258,0,0,unknown,310,4,unknown,0
58,blue-collar,married,primary,0,76,1,0,unknown,156,2,unknown,0
30,blue-collar,single,secondary,0,0,1,0,unknown,5,2,unknown,0
33,admin.,single,secondary,0,352,1,0,unknown,225,2,unknown,0
47,admin.,married,secondary,0,368,1,0,unknown,125,2,unknown,0
50,technician,single,tertiary,0,339,1,0,unknown,2,3,unknown,0
32,blue-collar,married,secondary,0,1331,1,0,unknown,286,2,unknown,0
40,self-employed,married,secondary,0,672,1,0,unknown,164,2,unknown,0
37,management,married,tertiary,0,58,1,0,unknown,98,2,unknown,0
54,technician,single,unknown,0,447,1,0,unknown,742,2,unknown,0
24,student,single,secondary,0,423,1,0,unknown,226,3,unknown,0
54,management,married,tertiary,0,0,0,0,unknown,120,2,unknown,0
34,technician,married,secondary,0,19,1,0,unknown,362,4,unknown,0
56,technician,divorced,primary,0,13,1,0,unknown,357,2,unknown,0
31,blue-collar,single,secondary,0,3,1,0,unknown,200,2,unknown,0
24,student,single,secondary,0,82,1,0,unknown,204,2,unknown,0
42,blue-collar,divorced,primary,0,28,1,0,unknown,126,3,unknown,0
57,technician,married,secondary,0,792,1,0,unknown,65,2,unknown,0
42,blue-collar,married,unknown,0,408,1,0,unknown,107,2,unknown,0
51,admin.,married,secondary,0,531,1,0,unknown,267,2,unknown,0
57,retired,married,secondary,0,211,1,0,unknown,248,2,unknown,0
36,services,single,secondary,0,62,1,0,unknown,215,2,unknown,0
53,services,married,unknown,0,257,1,0,unknown,209,2,unknown,0
50,technician,married,secondary,0,1234,1,0,unknown,205,2,unknown,0
54,management,married,tertiary,0,313,1,0,unknown,83,2,unknown,0
55,blue-collar,married,secondary,0,89,1,0,unknown,106,3,unknown,0
44,blue-collar,married,secondary,0,129,1,1,unknown,189,2,unknown,0
43,management,married,unknown,0,0,1,0,unknown,105,2,unknown,0
56,admin.,married,secondary,0,353,1,0,unknown,106,2,unknown,0
54,technician,married,unknown,0,851,1,0,unknown,108,2,unknown,0
55,services,divorced,primary,0,96,1,1,unknown,311,2,unknown,0
37,services,divorced,secondary,0,398,1,1,unknown,214,2,unknown,0
33,admin.,single,tertiary,0,193,0,0,unknown,132,2,unknown,0
46,admin.,married,secondary,0,-358,1,0,unknown,358,2,unknown,0
36,blue-collar,married,secondary,0,539,1,1,unknown,453,2,unknown,0
51,technician,single,secondary,0,0,1,0,unknown,364,2,unknown,0
40,retired,single,primary,0,0,0,0,unknown,136,2,unknown,0
42,blue-collar,married,secondary,0,490,1,0,unknown,386,2,unknown,0
51,blue-collar,married,secondary,0,0,1,0,unknown,173,2,unknown,0
49,blue-collar,married,unknown,0,403,1,0,unknown,241,2,unknown,0
48,management,married,secondary,0,161,1,0,unknown,224,3,unknown,0
32,technician,divorced,tertiary,0,2558,0,0,unknown,148,2,unknown,0
31,admin.,single,secondary,0,98,1,0,unknown,196,2,unknown,0
55,management,single,tertiary,0,115,0,0,unknown,111,4,unknown,0
40,blue-collar,single,secondary,0,436,1,0,unknown,231,3,unknown,0
47,technician,married,tertiary,0,831,1,0,unknown,316,3,unknown,0
57,technician,married,unknown,0,206,1,0,unknown,216,3,unknown,0
41,blue-collar,married,secondary,0,290,1,0,unknown,240,2,unknown,0
48,blue-collar,married,secondary,0,1,0,0,unknown,669,3,unknown,0
42,blue-collar,married,unknown,0,57,1,0,unknown,425,2,unknown,0
30,blue-collar,single,secondary,0,-457,1,0,unknown,143,2,unknown,0
58,management,single,tertiary,0,1387,1,0,unknown,174,5,unknown,0
45,management,divorced,tertiary,0,24598,1,0,unknown,313,3,unknown,0
49,blue-collar,married,secondary,0,30,1,0,unknown,135,4,unknown,0
42,admin.,single,secondary,0,1022,1,0,unknown,146,2,unknown,0
53,technician,married,secondary,0,56,1,1,unknown,152,2,unknown,0
51,admin.,single,secondary,1,-2,0,0,unknown,402,3,unknown,0
32,services,single,secondary,0,121,1,0,unknown,213,2,unknown,0
41,blue-collar,single,secondary,0,842,1,0,unknown,144,3,unknown,0
43,management,divorced,secondary,0,693,1,0,unknown,124,3,unknown,0
40,blue-collar,divorced,secondary,0,-333,1,0,unknown,183,2,unknown,0
50,blue-collar,married,primary,0,1533,1,0,unknown,325,2,unknown,0
34,management,married,tertiary,0,46,1,0,unknown,39,4,unknown,0
53,services,married,unknown,0,18,0,0,unknown,503,2,unknown,0
45,technician,married,secondary,0,44,1,0,unknown,95,4,unknown,0
39,blue-collar,married,primary,0,-100,1,0,unknown,680,2,unknown,0
44,services,married,tertiary,0,510,1,0,unknown,421,4,unknown,0
55,management,married,tertiary,0,685,1,0,unknown,174,3,unknown,0
46,management,single,tertiary,0,187,1,0,unknown,113,2,unknown,0
45,blue-collar,married,secondary,0,66,1,0,unknown,808,2,unknown,0
34,admin.,married,secondary,0,560,1,0,unknown,198,3,unknown,0
36,blue-collar,married,secondary,0,0,1,0,unknown,195,2,unknown,0
59,unknown,divorced,unknown,0,27,0,0,unknown,347,3,unknown,0
31,admin.,single,secondary,0,12,1,0,unknown,208,2,unknown,0
44,blue-collar,single,secondary,0,34,1,0,unknown,404,4,unknown,0
33,entrepreneur,single,tertiary,0,1068,1,0,unknown,396,2,unknown,0
40,blue-collar,married,secondary,0,211,1,0,unknown,216,4,unknown,0
46,admin.,single,tertiary,0,377,1,0,unknown,98,2,unknown,0
48,management,married,tertiary,0,263,1,0,unknown,350,2,unknown,0
42,services,married,secondary,0,1263,1,0,unknown,114,2,unknown,0
27,services,married,secondary,0,8,1,0,unknown,88,3,unknown,0
48,admin.,married,secondary,0,126,1,1,unknown,379,2,unknown,0
59,admin.,married,secondary,0,230,1,0,unknown,190,3,unknown,0
46,technician,married,tertiary,0,841,1,0,unknown,158,1,unknown,0
38,admin.,divorced,secondary,0,308,1,0,unknown,102,1,unknown,0
43,management,divorced,tertiary,0,1,1,0,unknown,306,1,unknown,0
38,admin.,divorced,tertiary,0,86,1,0,unknown,218,1,unknown,0
23,student,single,secondary,0,157,1,0,unknown,54,1,unknown,0
34,services,married,secondary,0,22,1,0,unknown,344,1,unknown,0
38,admin.,married,secondary,0,46,1,1,unknown,195,1,unknown,0
37,blue-collar,married,secondary,0,1293,0,0,unknown,652,1,unknown,0
25,admin.,single,secondary,0,122,1,0,unknown,286,1,unknown,0
48,blue-collar,married,unknown,0,131,1,0,unknown,189,1,unknown,0
49,blue-collar,single,secondary,0,143,1,0,unknown,83,1,unknown,0
38,admin.,single,secondary,0,393,0,0,unknown,184,2,unknown,0
43,blue-collar,married,primary,0,98,1,0,unknown,235,1,unknown,0
33,management,married,tertiary,0,0,1,0,unknown,290,1,unknown,0
55,blue-collar,married,secondary,0,224,1,0,unknown,232,1,unknown,0
38,blue-collar,married,secondary,0,757,1,0,unknown,133,1,unknown,0
49,services,married,secondary,0,245,1,1,unknown,318,1,unknown,0
40,management,married,secondary,0,8486,0,0,unknown,260,3,unknown,0
43,admin.,married,unknown,0,350,0,0,unknown,437,1,unknown,0
38,blue-collar,married,secondary,0,20,1,0,unknown,402,1,unknown,0
58,services,married,secondary,0,1667,1,1,unknown,85,1,unknown,0
57,technician,married,unknown,0,345,1,0,unknown,125,1,unknown,0
32,unemployed,married,secondary,0,10,1,0,unknown,501,4,unknown,0
56,management,married,tertiary,0,830,1,1,unknown,1201,1,unknown,1
58,blue-collar,divorced,unknown,0,29,1,0,unknown,253,1,unknown,0
60,retired,divorced,secondary,0,545,1,0,unknown,1030,1,unknown,1
37,technician,married,tertiary,0,8730,1,0,unknown,149,1,unknown,0
46,technician,divorced,tertiary,0,477,1,0,unknown,114,1,unknown,0
27,admin.,married,secondary,0,4,1,0,unknown,243,1,unknown,0
43,blue-collar,married,secondary,0,1205,1,0,unknown,769,2,unknown,0
32,technician,single,secondary,0,0,1,1,unknown,135,3,unknown,0
40,admin.,single,secondary,0,263,1,0,unknown,231,1,unknown,0
38,admin.,married,secondary,0,1,0,0,unknown,76,1,unknown,0
34,blue-collar,married,secondary,0,283,0,1,unknown,199,1,unknown,0
47,blue-collar,married,primary,0,206,1,0,unknown,152,1,unknown,0
42,housemaid,married,primary,0,17,1,0,unknown,124,1,unknown,0
48,technician,married,secondary,0,141,1,1,unknown,424,1,unknown,0
29,self-employed,single,tertiary,0,16,1,0,unknown,43,1,unknown,0
50,services,married,secondary,0,206,1,0,unknown,154,1,unknown,0
